,heading,location,rent per month,Bedrooom,Bathrooom,Area-sqft
1121,Plan To Move In This 3740 Sq Ft Flat Which Is Up To Rent In Gulshan 2,"Gulshan 2, Gulshan","৳240,000",4,5,3740 sqft
1122,Your New Home Is Waiting For You In This Lovely Apartment Of 1500 Sq Ft Is Ready For ...,"Block B, Bashundhara R-A","৳32,000",3,4,1500 sqft
1123,"1400 Square Feet Apartment For Rent In Adabor, Baitul Aman Housing Society","Baitul Aman Housing Society, Adabor","৳28,000",3,3,1400 sqft
1124,Ready To Rent | Well-maintained 1463 Sq Ft Apartment In Shyamoli,"Mohonpur Road, Shyamoli","৳30,000",3,4,1463 sqft
1125,Standard 1250 Square Feet Apartment For Rent In Adabor,"Baitul Aman Housing Society, Adabor","৳22,000",3,3,1250 sqft
1126,"Valuable 1800 Sq Ft Flat For Rent In Bashundhara, Block D","Block D, Bashundhara R-A","৳42,000",3,3,1800 sqft
1127,"Looking For A Nice Full Furnished Flat To Rent In Uttara, Check This One Which Is 180...","Sector 5, Uttara","৳70,000",3,3,1800 sqft
1128,1550 Square Feet Apartment Is For Rent In The Serene Location Of Uttara-13,"Sector 13, Uttara","৳60,000",3,3,1550 sqft
1129,1800 Sq Ft Full Furnished Apartment Is Available For Rent In Bashundhara,"Block B, Bashundhara R-A","৳100,000",4,4,1800 sqft
1130,A Contemporary Cozy Full Furnished Flat Of 2400 Sq Ft Is Up For Rent Is Situated At G...,"Gulshan 2, Gulshan","৳130,000",3,4,2400 sqft
1131,3200 Sq Ft Ready Semi Furnished Apartment For Rent In Baridhara,"Block K, Baridhara","৳240,000",4,4,3200 sqft
1132,Prominent Location Bright And Cozy For Rent 1250 Sq Ft Apartment,"Block J, Bashundhara R-A","৳25,000",3,3,1250 sqft
1133,Well Organized Flat Of 2200 Sq Ft Is Vacant For Rent In Bashundhara R-A Block D.,"Block D, Bashundhara R-A","৳50,000",3,3,2200 sqft
1134,Grab This 2150 Sq Ft Ready Flat For Rent In Uttara-6,"Sector 6, Uttara","৳100,000",4,4,2150 sqft
1135,"Commodious 2,150 SFT Apartment for Rent in Bashundhara R-A","Block A, Bashundhara R-A","৳33,000",3,5,2150 sqft
1136,1100 Sq Ft Modern Apartment For Rent At Khilgaon,"North Goran, Goran, Khilgaon, Khilgaon","৳21,000",3,2,1100 sqft
1137,1100 Sq. Ft. Apartment for rent in Khilgaon – Your Dream Home Awaits!,"North Goran, Goran, Khilgaon, Khilgaon","৳20,000",3,2,1100 sqft
1138,1130 Square Feet apartment ready for rent in North mugdapara mugdapara,"North Mugdapara, Mugdapara","৳20,000",,,
1139,"1450 Square Feet Residential Apartment Rent In Bashundhara R-a, Block D","Block D, Bashundhara R-A","৳30,000",,,
1140,"1150 sqft ready flat for rent in road no 5, block H, Banasree, Dhaka","Block H, Banasree","৳20,000",,,
1141,"Settle Down In This 1390 Sq Ft Flat Up For Rent In Mohammadpur, Bizlymoholla Road","Bizlymoholla Road, Mohammadpur","৳25,000",3,3,1390 sqft
1142,"A Nicely Constructed Flat Of 2800 Sq Ft Can Be Found In Gulshan 1 For Rent, Near Gove...","Gulshan 1, Gulshan","৳100,000",,,
1143,Reasonable 1300 SQ FT flat is available for Rent in Badda near to Badda High School,"Middle Badda, Badda","৳20,000",,,
1144,Obtain your new residence at this 1200 SQ FT apartment up for rent at Shahjadpur near...,"Shahjadpur, Badda","৳23,500",,,
1145,A well designed 2400 SQ FT apartment is waiting for rent at Baridhara nearby United H...,"Road No 12, Baridhara","৳110,000",,,
1146,We Have A Ready Flat For Rent In Bangshal Nearby Baitul Ijjat Jame Masjid,"Majed Sardar Road, Bangshal","৳30,000",,,
1147,950 Sq Ft Apartment for Rent in Uttara,"Sector 12, Uttara","৳40,000",2,2,950 sqft
1148,Suitable 950 Sq Ft Apartment for Rent in Uttara Sector 12,"Sector 12, Uttara","৳30,000",2,2,950 sqft
1149,"Pleasant 1,300 Sq. Ft. Fully Furnished Flat for Rent in Dhanmondi","Road No 10A, Dhanmondi","৳60,000",2,3,1300 sqft
1150,"Modern 1,300 Sq Ft Apartment for Rent in Dhanmondi","North Road, Dhanmondi","৳30,000",3,3,1300 sqft
1151,"Spacious 3,100 Sq. Ft. Flat for Rent in Uttara Sector 6","Sector 6, Uttara","৳63,000",4,4,3100 sqft
1152,1600 sq ft noticeable flat for rent in Paribagh,"Poribagh Road Number 2, Paribagh","৳35,000",3,3,1600 sqft
1153,Unique 1950 Sq Ft Residential Apartment For Rent In Dhanmondi,"Road No 4, Dhanmondi","৳65,000",3,3,1950 sqft
1154,"Prominent 2,400 sq ft Apartment for Rent in Bashundhara R-A","Block I Extension, Bashundhara R-A","৳50,000",4,4,2400 sqft
1155,"Suitable 1200 Sq Ft Apartment For Rent In Mohammadpur, Aziz Moholla","aziz Moholla, Mohammadpur","৳20,000",2,2,1200 sqft
1156,"1,550 Sq Ft Family Apartment For Rent IN Paribagh","Poribagh Road Number 2, Paribagh","৳35,000",3,4,1550 sqft
1157,"1,975 SFT Valuable Apartment for Rent in Bashundhara R-A","Block E, Bashundhara R-A","৳48,000",3,4,1975 sqft
1158,Noticeable 1500 sq ft flat for Rent in Uttara,"Sector 12, Uttara","৳55,000",3,3,1500 sqft
1159,"Elegant 3,600 Sq Ft Apartment Available for Rent in Dhanmondi","Road No 13, Dhanmondi","৳70,000",5,5,3600 sqft
1160,"Prominent 2,200 sq ft Apartment for Rent in Bashundhara R-A","Block G, Bashundhara R-A","৳36,000",4,4,2200 sqft
1161,"Spacious 2,500 sq ft apartment is available for rent in Bashundhara R-A, Block J","Block J, Bashundhara R-A","৳50,000",4,4,2500 sqft
1162,Apartment For Rent In Bagan Bari Road Near Malibagh Super Market,"Bagan Bari Road, Malibagh","৳23,000",,,
1163,A Nicely Planned Flat Is Up For Rent In Uttara Nearby Radical Hospital,"Sector 12, Uttara","৳25,000",,,
1164,"Properly Constructed Flat For Rent In Uttara, Near Nrb Bank Limited","Sector 12, Uttara","৳35,000",,,
1165,"Apartment For Rent Near University Of Information Technology And Sciences, In Baridha...","Block J, Baridhara","৳40,000",,,
1166,Well built and properly designed residential flat of 3650 SQ FT in Gulshan 1 for rent...,"Gulshan 1, Gulshan","৳155,000",,,
1167,Apartment for Rent in Shegunbagicha nearby EBL ATM,"Topkhana Road, Shegunbagicha","৳20,000",,,
1168,Offering you a very spacious 1588 SQ FT flat for rent in Baridhara near to Baridhara ...,"Block J, Baridhara","৳30,500",,,
1169,Wonderful Aparmtent for rent in Bashundhara R-A near North South University,"Block D, Bashundhara R-A","৳32,000",,,
1170,A well designed 2400 SQ FT apartment is waiting for rent at Baridhara nearby United H...,"Road No 12, Baridhara","৳110,000",,,
1171,We Have A Ready Flat For Rent In Bangshal Nearby Baitul Ijjat Jame Masjid,"Majed Sardar Road, Bangshal","৳30,000",,,
1172,Spacious 2500 Sq ft Residential apartment for rent in Uttara,"Sector 13, Uttara","৳35,000",4,5,2500 sqft
1173,"Notable 1,650 Sq. Ft. Apartment Available for Rent in Bashundhara R-A","Block C, Bashundhara R-A","৳32,000",3,3,1650 sqft
1174,Check this comfortable and nice 1500 SQ Ft apartment for rent at Mirpur nearby BRAC B...,"Section 6, Mirpur","৳26,000",,,
1175,Find 1000 SQ FT flat available for Rent in Badda near to Badda Post Office,"Shahjadpur, Badda","৳21,000",,,
1176,Check This Nice Flat For Rent At West Nakhalpara Nearby Nakhalpara Government Primary...,"West Nakhalpara, Tejgaon","৳25,000",,,
1177,1818 SQ FT Ready Spacious Flat For Sale In Uttara Very Close To Tanjimul Ummah Girls ...,"Sector 12, Uttara","৳27,000",,,
1178,Reasonable 1500 SQ FT flat is available to Rent in Bashundhara R-A near to Ebenzer In...,"Block G, Bashundhara R-A","৳30,000",,,
1179,A 1110 SQ FT apartment is waiting for rent at East Rampura nearby East Rampura High S...,"East Rampura, Rampura","৳20,000",,,
1180,"We have this 950 SQ Ft apartment ready for rent at Uttara, near Shaheed Monsur Ali Me...","Sector 11, Uttara","৳21,000",,,
1181,"1200 SQ FT apartment for rent near City Club Ground, in Mirpur Section 2","Section 2, Mirpur","৳22,000",,,
1182,Flat for Rent in Badda near Badda Post Office,"Shahjadpur, Badda","৳25,000",,,
1183,Check This 2080 Sq.ft Large Flat In Uttara -5 For Rent Which Is Ready To Move In,"Sector 5, Uttara","৳45,000",,,
1184,Beautiful and well-constructed 1300 SQ Ft apartment is ready for rent at Green Road n...,"Green Road, Kathalbagan","৳29,500",,,
1185,2000 Sq Ft Ready Flat For Rent At Bashundhara Nearby Ebenzer International School,"Block D, Bashundhara R-A","৳80,000",,,
1186,Rent This Residence In Tejgaon,"Tejkunipara, Tejgaon","৳25,000",,,
1187,An Attractive Apartment Is Up For Rent Covering An Area Of 1500 Sq Ft At Aftab Nagar,"Block L, Aftab Nagar","৳20,000",,,
1188,2900 Sq Ft 3-bedroom Flat Is Now For Rent In Baridhara Nearby Dncc Ward No 18 Office,"Block K, Baridhara","৳78,000",,,
1189,"Move In And Inhabit This 2600 Sq Ft Properly Constructed Flat For Rent In Gulshan 2, ...","Gulshan 2, Gulshan","৳70,000",,,
1190,This Flat Is Now Vacant For Rent In Uttara Close To Mastermind School,"Sector 14, Uttara","৳20,000",,,
1191,Nice 1500 SQ FT apartment is available to Rent in Uttara,"Sector 11, Uttara","৳25,000",,,
1192,2008 Sq Ft Flat For Rent In Bashundhara R-a Near Dutch-bangla Bank Limited,"Block A, Bashundhara R-A","৳40,000",,,
1193,"Well Developed 1375 Sq Ft Flat Is Up For Rent In Malibagh, Near Malibag Shahi Masjid","Shantibag, Malibagh","৳27,000",,,
1194,"An Apartment Is Ready For Rent At Tejturi Bazar , Near Tejgaon Women&#039;s College.","Tejturi Bazar, Tejgaon","৳26,000",,,
1195,1861 SQ FT flat for Rent in Baridhara close to Baridhara Jame Masjid,"Block J, Baridhara","৳46,000",,,
1196,A well designed 1500 SQ FT apartment is waiting for rent at Gulshan nearby Sea Breeze...,"Gulshan 1, Gulshan","৳50,000",,,
1197,1200 SQ Ft beautiful apartment and make it your new home which is up for rent in Badd...,"Shahjadpur, Badda","৳25,000",,,
1198,A Must See 1150 Sq Ft Apartment For Rent Is All Set For You In Adabor Near Southeast ...,"Baitul Aman Housing Society, Adabor","৳20,000",,,
1199,"Picture yourself, residing in this well constructed and planned 1550 SQ FT flat in Ut...","Sector 12, Uttara","৳22,000",,,
1200,Flat For Rent In Gulbag Near Gulbag Jame Masjid,"Gulbag, Malibagh","৳22,000",,,
1201,Flat for rent in Malibagh near City Dental College,"Malibagh Chowdhury Para, Malibagh","৳20,000",,,
1202,A 1250 Square Ft And 3 Bedroom Residential Apartment For Rent At Matabbar Road-Badda ...,"Uttar Badda, Badda","৳25,000",,,
1203,"At Uttara, Road No 19 flat for Rent close to Uttara Thana","Sector 14, Uttara","৳20,000",,,
1204,Flat For Rent In Rampura Near Rampura Bazar,"Ullan, Rampura","৳20,500",,,
1205,This 1350 Sq.Ft Flat For Rent In Rampura Near East Rampura High School,"Titas Gas Road, Rampura","৳21,000",,,
1206,"A nice residential flat of 2110 SQ FT, for rent, can be found in Banani Road 23, near...","Road No 23, Banani","৳100,000",,,
1207,Apartment For Rent In Bagan Bari Road Near Malibagh Super Market,"Bagan Bari Road, Malibagh","৳23,000",,,
1208,A Nicely Planned Flat Is Up For Rent In Uttara Nearby Radical Hospital,"Sector 12, Uttara","৳25,000",,,
1209,"Properly Constructed Flat For Rent In Uttara, Near Nrb Bank Limited","Sector 12, Uttara","৳35,000",,,
1210,"Apartment For Rent Near University Of Information Technology And Sciences, In Baridha...","Block J, Baridhara","৳40,000",,,
1211,Well built and properly designed residential flat of 3650 SQ FT in Gulshan 1 for rent...,"Gulshan 1, Gulshan","৳155,000",,,
1212,Apartment for Rent in Shegunbagicha nearby EBL ATM,"Topkhana Road, Shegunbagicha","৳20,000",,,
1213,Offering you a very spacious 1588 SQ FT flat for rent in Baridhara near to Baridhara ...,"Block J, Baridhara","৳30,500",,,
1214,Wonderful Aparmtent for rent in Bashundhara R-A near North South University,"Block D, Bashundhara R-A","৳32,000",,,
1215,1300 SQ FT flat for rent in Malibagh near mosque,"Shantibag - Shahidbag Road, Malibagh","৳26,000",,,
1216,Well-constructed Apartment Is Ready For Rent At Bashundhara Nearby Apollo Hospitals,"Block A, Bashundhara R-A","৳25,000",,,
1217,"This 1450 SQ Ft ready apartment at Adabor, near Padakhep Manabik Unnayan Kendra up fo...","Baitul Aman Housing Society, Adabor","৳27,000",,,
1218,A Well Designed 1050 Sq Ft Apartment Is Waiting For Rent At Malibagh,"Gulbag, Malibagh","৳21,000",,,
1219,"Start residing in this 2600 SQ FT, properly developed apartment for rent, in Uttara S...","Sector 13, Uttara","৳68,000",,,
1220,"At Banasree, flat for Rent close to Banasree Bazar","Block B, Banasree","৳20,000",,,
1221,"Get comfortable in a 1700 SQ FT flat for rent in Uttara Sector 11, near Lubana Genera...","Sector 11, Uttara","৳30,000",,,
1222,1800 Sq Ft Ready Flat For Rent In Bashundhara R/a Nearby Bashundhara Eye Hospital,"Block D, Bashundhara R-A","৳30,000",,,
1223,You can move into this well planned and comfortable Residential flat in Gulshan 2 for...,"Gulshan 2, Gulshan","৳55,000",,,
1224,"In The Location Of PC Culture Housing , 2 Bedroom Home Is Up To Rent.","PC Culture Housing, Mohammadpur","৳20,000",,,
1225,"1150 Sq Ft Modern Flat Is For Rent In Khilgaon, Block C","Block C, Khilgaon","৳24,000",,,
1226,"Move in and inhabit this 3600 SQ FT properly constructed flat for rent in Gulshan 2, ...","Gulshan 2, Gulshan","৳120,000",,,
1227,"When Location, And Convenience Is Your Priority This 3 Bedroom Flat Is For You In Bad...","Middle Badda, Badda","৳24,000",,,
1228,"On The Doorstep Of Radical Hospital, An Apartment Of 1700 Sq Ft Is Ready To Rent In U...","Sector 12, Uttara","৳30,000",,,
1229,"An Apartment Is For Rent At Uttara, Near Uttara West Police Station","Sector 11, Uttara","৳35,000",,,
1230,See this 1220 SQ FT apartment which is up for rent in Badda near Badda Police Station,"Merul Badda, Badda","৳22,000",,,
1231,"2000 Sq Ft Properly Constructed Flat For Rent In Baridhara Block J, Near Govt. Kalach...","Block J, Baridhara","৳39,500",,,
1232,"Create Your Home In A 1175 Sq Ft Flat For Rent In Rampura, Near Rupali Bank Limited","East Rampura, Rampura","৳20,000",,,
1233,Nice Flat Of 1350 Sq Ft For Rent In Rampura Near Salambagh Jame Masjid,"Titas Gas Road, Rampura","৳22,000",,,
1234,Visit this apartment for rent covering an area in Banani near Nova Medical Center,"Road No 12, Banani","৳65,000",,,
1235,"Beautiful And Well-constructed 1550 Sq Ft Flat Is Ready To Rent At Block H, Bashundha...","Block H, Bashundhara R-A","৳30,000",,,
1236,Check This Nice 2000 Sq Ft Flat For Rent At Bashundhara R-a Nearby Ebenzer Internatio...,"Block F, Bashundhara R-A","৳35,000",,,
1237,"Comfortable and well designed flat of 2200 SQ FT in Gulshan 2 for rent, near Unimart","Gulshan 2, Gulshan","৳100,000",,,
1238,"Apartment For Rent In Bashundhara R-a, Near North South University","Block D, Bashundhara R-A","৳37,000",,,
1239,Rarely available 2400 SQ FT apartment is up for rent at Bashundhara near to Playpen S...,"Block D, Bashundhara R-A","৳55,000",,,
1240,Reasonable 1250 SQ FT flat is available for Rent in Baridhara near to Baridhara Jame ...,"Block J, Baridhara","৳25,000",,,
1241,See This Apartment Up For Rent In Uttara Near Southeast Bank Limited,"Sector 5, Uttara","৳20,000",,,
1242,"Situated in Bashundhara R-A, an apartment of 1500 SQ FT is available for rent, near S...","Block F, Bashundhara R-A","৳30,000",,,
1243,Find 1430 Sq Ft Flat Available For Rent In East Hazipara Near To Janata Bank Limited,"East Rampura, Rampura","৳25,000",,,
1244,Impressive Flat Of 1050 Sq Ft Is Up For Rent In Uttara -14.,"Sector 14, Uttara","৳21,000",,,
1245,1360 Sq Ft Flat Is Now Vacant For Rent In Shantibag Close To Dhaka Biggan College.,"Shantibag, Malibagh","৳22,000",,,
1246,"In A Mind-blowing Location Of Mirpur -12, 1156 Sq Ft An Apartment Is Up For Rent","Section 12, Mirpur","৳21,000",,,
1247,"Situated in Uttara Sector 6, an apartment of 1450 SQ FT is available for rent, near K...","Sector 6, Uttara","৳28,000",,,
1248,1300 SQ FT flat for Rent in Banasree near Banasree Bazar,"Block D, Banasree","৳21,000",,,
1249,"Close to South Badda Kacha Bazar, a 1050 SQ FT apartment is available for rent in Bad...","South Badda, Badda","৳22,000",,,
1250,"At Bashundhara R-a, 2300 Sq Ft Nice Flat Up For Rent Near United Commercial Bank Limi...","Block A, Bashundhara R-A","৳35,000",,,
1251,1350 SQ FT flat near NSU for Rent in Bashundhara R-A,"Block B, Bashundhara R-A","৳25,000",,,
1252,Check This 1000 Sq. Ft Apartment Up For Rent In Uttara,"Sector 9, Uttara","৳20,000",,,
1253,A 1600 Sq. Ft Apartment For Rent Is In Uttara Close To Sector 9 Kacha Bazar,"Sector 9, Uttara","৳25,000",,,
1254,Pursue This 2250 Sq Ft Apartment Ready For Rent In South Banasree Project,"South Banasree Project, Banasree","৳26,000",4,3,2250 sqft
1255,Valuable 3000 Sq Ft Ready Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳150,000",4,4,3000 sqft
1256,Modest 1450 Square Feet Apartment For Rent In Mohammadpur,"PC Culture Housing, Mohammadpur","৳25,000",3,3,1450 sqft
1257,All Set For Rental Purpose This 1800 Sq Ft Flat Is Available In The Location Of Babar...,"Babar Road, Mohammadpur","৳33,000",3,4,1800 sqft
1258,"1250 Sq Ft Flat For Rent In Mohammadpur, Babar Road","Babar Road, Mohammadpur","৳30,000",3,3,1250 sqft
1259,"1000 SQ FT apartment for rent in Rampura, near Mirbag Darul Aman Jame Masjid","West Rampura, Rampura","৳20,000",,,
1260,1650 SQ FT flat for Rent in Bashundhara R-A close to NSU,"Block F, Bashundhara R-A","৳29,500",,,
1261,A Perfect Flat Of 1250 Sq Ft For Living With Family Is Available For Rent At Bashundh...,"Block D, Bashundhara R-A","৳22,000",,,
1262,"1300 SQ FT apartment for rent in Mirpur Section 6, near Mirpur-6 Kacha Bazar","Section 6, Mirpur","৳20,000",,,
1263,"Ready apartment 900 SQ FT is now to Rent in Sector 12, Uttara","Sector 12, Uttara","৳20,000",,,
1264,"A Beautiful 1500 Sq.Ft Apartment For Rent Is All Set For You In Block G, Bashundhara ...","Block G, Bashundhara R-A","৳25,000",,,
1265,At Malibagh 1300 Square feet flat for Rent close to Jame Masjid,"Malibagh Chowdhury Para, Malibagh","৳24,000",,,
1266,1200 SQ FT flat near High School for Rent in Malibagh,"Malibagh Chowdhury Para, Malibagh","৳22,000",,,
1267,An Attractive Apartment Is Up For Rent Covering An Area Of 1200 Sq Ft At Niketan.,"Block B, Niketan","৳23,000",,,
1268,1200 Square Feet Nice Residential Apartment For Rent At Kalabagan Close To Lake Circu...,"Girls School Road, Kalabagan","৳30,000",,,
1269,"We have this 2100 SQ FT Fully Furnished apartment is ready for rent at Banani, near H...","Road No 18, Banani","৳100,000",,,
1270,Define Your Home Taste By Renting This Residence Of 3200 Sq Ft At Gulshan 2,"Gulshan 2, Gulshan","৳200,000",3,4,3200 sqft
1271,Here Is A Moderate Residence Of 1640 Sq Ft Waiting For Rent At Baitul Aman Housing So...,"Baitul Aman Housing Society, Adabor","৳30,000",3,3,1640 sqft
1272,"1550 SQ FT apartment for rent near Preparatory Grammer School, in Mirpur","Section 10, Mirpur","৳25,000",,,
1273,2300 SQ FT good looking flat in Gulshan 2 is now for rent nearby Green Goose Guest Ho...,"Gulshan 2, Gulshan","৳110,000",,,
1274,Apartment of 2119 SQ FT for rent in Gulshan 2,"Gulshan 2, Gulshan","৳65,000",,,
1275,Comfortable And Nicely Planned Flat Of 1320 Sq Ft In Badda For Rent Nearby Badda High...,"Middle Badda, Badda","৳27,000",,,
1276,"Create your home in a 1000 SQ FT flat for rent in Jatra Bari, near Jatra Bari Bus Sta...","Donia, Jatra Bari","৳24,000",,,
1277,"Visit This 1550 Sq Ft Residence Is Vacant For Rent In Block H, Bashundhara R/A","Block H, Bashundhara R-A","৳30,000",,,
1278,"Get comfortable in a 1700 SQ FT flat for rent in Bashundhara Block C, near North Sout...","Block C, Bashundhara R-A","৳25,000",,,
1279,Ready Flat Is Now For Rent In Uttara Nearby Mastermind School,"Sector 14, Uttara","৳20,000",,,
1280,Check This Nice 1600 Sq Ft Flat For Rent At Bashundhara Nearby Markajul Fikril Islami...,"Block D, Bashundhara R-A","৳24,000",,,
1281,1500 SQ FT Apartment for Rent in Bashundhara R-A nearby IUB,"Block C, Bashundhara R-A","৳24,000",,,
1282,"Consider Renting This 2200 Sq Ft Apartment In Baridhara, Block K","Block K, Baridhara","৳110,000",3,3,2200 sqft
1283,Affordable 1375 Sq Ft Apartment Available For Rent In South Badda,"South Badda, Badda","৳30,000",3,3,1375 sqft
1284,"3,000 Sq Ft Well-built Apartment For Rent In Baridhara","Block K, Baridhara","৳140,000",4,4,3000 sqft
1285,"Consider Renting This 1600 Sq Ft Apartment In Aftab Nagar, Block E","Block E, Aftab Nagar","৳30,000",3,3,1600 sqft
1286,Economical 1400 Square Feet Apartment For Rent In Adabor,"Baitul Aman Housing Society, Adabor","৳25,000",3,3,1400 sqft
1287,Commodious 1700 Sq Ft Flat For Rent In Bashundhara,"Block J, Bashundhara R-A","৳40,000",3,3,1700 sqft
1288,Notable 2500 Sq Ft Flat For Rent In Bashundhara,"Block J, Bashundhara R-A","৳50,000",4,4,2500 sqft
1289,"Dwell In This 1500 Sq Ft Flat Available For Rent In Bashundhara R-a, Block G","Block G, Bashundhara R-A","৳25,000",3,3,1500 sqft
1290,A Finely Built 3554 Sq Ft Flat Is Up For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳240,000",4,5,3554 sqft
1291,Checkout This Great 2600 Sq Ft Full Furnished Flat For Rent In Baridhara Dohs,"Road No 4, Baridhara DOHS","৳110,000",4,4,2600 sqft
1292,Explore This 1500 Sq Ft Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳200,000",3,3,1500 sqft
1293,"Get This Well Defined 2300 Sq Ft Flat For Rent In Block K, Baridhara","Block K, Baridhara","৳85,000",3,3,2300 sqft
1294,Beautiful And Well-constructed Furnished Flat Is Ready For Rent At Niketan Nearby Nik...,"Tejgaon Industrial Area, Tejgaon","৳70,000",3,3,1540 sqft
1295,"Available In Banasree, An Apartment Of 1200 Sq Ft Is Available, Near Cosmo School &am...","Block B, Banasree","৳24,000",3,3,1200 sqft
1296,Visit This Flat For Rent In Uttara Nearby International Hope School Bangladesh,"Sector 4, Uttara","৳35,000",3,3,1500 sqft
1297,Check This Apartment Up For Rent At Bashundhara R-a Near Ebenzer International School,"Block C, Bashundhara R-A","৳66,000",4,4,2350 sqft
1298,"We Bring You A Beautiful And Distinct Flat Of 900 Sq Ft For Rent In Block A, Aftab Na...","Block A, Aftab Nagar","৳20,000",2,2,900 sqft
1299,A Beautiful Full Furnished Ready Flat With 3 Bedrooms Is Available For Rent At Block ...,"Block E, Bashundhara R-A","৳50,000",3,3,1420 sqft
1300,2200 Square Feet Apartment For Rent In The Wonderful Placement Of Gulshan 2,"Gulshan 2, Gulshan","৳150,000",3,4,2200 sqft
1301,This Wonderful Flat Is Set For Rent With An Amazing Floor Plan Which Is 1150 Sq Ft In...,"Uttar Badda, Badda","৳20,000",3,3,1150 sqft
1302,"A Flat For Residential Purpose In The Hub Of Aftab Nagarwith 1400 Sq Ft, Is Up For Re...","Block G, Aftab Nagar","৳20,000",3,3,1400 sqft
1303,Be The Resident Of This Beautiful Flat Of 1400 Sq Ft Which Is Vacant Now For Rent At ...,"Block G, Aftab Nagar","৳20,000",3,3,1400 sqft
1304,"Very Well Designed 1250 Sq Ft Residential Flat Is Unoccupied For Rent At Block B, Aft...","Block B, Aftab Nagar","৳25,000",3,3,1250 sqft
1305,"Plan To Move In This 1250 Sq Ft Flat Which Is For Rent In Chowdhuripara, Khilgaon","Chowdhuripara, Khilgaon","৳28,000",3,3,1250 sqft
1306,"Plan To Move In This 1000 Sq Ft Flat Which Is For Rent In Block E, Aftab Nagar","Block E, Aftab Nagar","৳22,000",3,2,1000 sqft
1307,"Lovely Apartment Of 1350 Sq Ft Is Up For Rent In Block F, Aftab Nagar","Block F, Aftab Nagar","৳23,000",3,3,1350 sqft
1308,"A 2300 Sq Ft Flat Is Up For Rent In A Well Secured Location Of Block C, Aftab Nagar","Block C, Aftab Nagar","৳55,000",4,4,2300 sqft
1309,1080 Sq Ft Residential Apartment For Rent In Motijheel,"Naya Paltan, Motijheel","৳28,000",3,2,1080 sqft
1310,Start Living In This 1510 Sq Ft Flat For Rent In Bashundhara R-a,"Block E, Bashundhara R-A","৳37,000",3,3,1510 sqft
1311,Pick This 1480 Sq Ft Flat For Rent In Bashundhara R-a,"Block E, Bashundhara R-A","৳37,000",3,3,1480 sqft
1312,"View This 1480 Sq Ft Flat For Rent In Bashundhara R-a, Block E","Block E, Bashundhara R-A","৳37,000",3,3,1480 sqft
1313,"Reside In This 1480 Sq Ft Flat For Rent In Bashundhara R-a, Block E","Block E, Bashundhara R-A","৳37,000",3,3,1480 sqft
1314,"Check This Fine Looking Flat Of 1400 Sq Ft Offered For Rent In Block G, Banasree","Block G, Banasree","৳25,000",3,3,1400 sqft
1315,"Very Well Designed 1400 Sq Ft Residential Flat Is Unoccupied For Rent At Block G, Ban...","Block G, Banasree","৳25,000",3,3,1400 sqft
1316,Very Well Designed 1700 Sq Ft Residential Flat Is Unoccupied For Rent At Shahjadpur,"Shahjadpur, Badda","৳35,000",3,3,1700 sqft
1317,1400 Sq Ft Apartment For Rent In The Great Area Of Banasree,"Block G, Banasree","৳25,000",3,3,1400 sqft
1318,A Relaxing 1995 Sq Ft Residential Property Is Up For Rent At Uttara - 4,"Sector 4, Uttara","৳45,000",3,3,1995 sqft
1319,Best Location | Spacious And Bright 4 Bed Apartment | For Rent In Baridhara,"Block K, Baridhara","৳420,000",4,4,4000 sqft
1320,Noteworthy 2700 Sq Ft Ready Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳200,000",4,4,2700 sqft
1321,Find 2100 Sq Ft Nice Flat Available To Rent In Bashundhara R-A,"Block J, Bashundhara R-A","৳40,000",3,3,2100 sqft
1322,Discover Comfort In This Spacious 3BR Flat For Rent In Bashundhara R-a,"Block J, Bashundhara R-A","৳25,000",3,3,1250 sqft
1323,Vacant | Spacious 3 Bed Room | Best Layout | Prime Area,"Block L, Bashundhara R-A","৳25,000",3,3,1150 sqft
1324,Discover Your Ideal 1150 Sq Ft Flat For Rent In Bashundhara R-A Today!,"Block L, Bashundhara R-A","৳25,000",3,3,1150 sqft
1325,Secure Your Dream Flat Of 1150 Sq Ft In Bashundhara R/A Today!,"Block L, Bashundhara R-A","৳25,000",3,3,1150 sqft
1326,Suitable 950 Sq Ft Apartment Is Ready For Rent In Banasree,"Block J, Banasree","৳21,000",3,2,950 sqft
1327,Conventional 950 Sq Ft Apartment Is Ready For Rent In Banasree,"Block J, Banasree","৳21,000",3,2,950 sqft
1328,"2100 Sq Ft Modern Flat To Rent In Bashundhara R-a, Block I","Block I, Bashundhara R-A","৳40,000",3,4,2100 sqft
1329,This Beautiful Flat Of 1550 Sq Ft Is Greatly Affordable And Will Come Within Your Bud...,"Block H, Bashundhara R-A","৳28,000",3,3,1550 sqft
1330,1600 Sq Ft Apartment Is Ready For Rent In Banasree,"Block F, Banasree","৳25,000",3,3,1600 sqft
1331,Splendid 2800 Sq Ft Flat Available For Rent In Bashundhara,"Block D, Bashundhara R-A","৳55,000",4,5,2800 sqft
1332,1250 Sq Ft Modern Apartment For Rent At Banasree,"Block E, Banasree","৳24,000",3,3,1250 sqft
